Source_Object_title,Source_Note_body,Target_Object_title,Target_Note_body
教育沒有跟業界接軌,"現況是學校裡學習的內容，真的在出社會工作上使用到的比例不高
未來教室在學習內容部分需更實際",創新思維,教學者須與業界接軌，吸收最新知識及技術，有創新思維才能不被時代淘汰。
有政府，要做事,"所以～～
1：就是政府要處理的
2：沒有3C也是會有這樣的情況（每個學生的起點不同）
3：也是政府要處理的",起始資源的建置，以及後續維護的相關費用需要考量,"若是能夠全面啟動，的確可以減少城鄉差距，讓在偏鄉的孩子也能感受到接觸不到的知識，但是環境的設置，以及後續是否有經費能夠維護？
以及起點能力落後，在從小沒有3C產品陪伴的家庭，是否需要額外花更大量的時間來引導？
學生課後是沒有相關設備可以使用的，會不會流於形式？"
「有趣學習」實現「有效學習」,「好奇心不僅是啟動學習的開始，更是讓後續學習更有效率的一個持續性的動力。,學習態度培養,培養學生的好奇心與求知慾
遠端監控,"「遠距監控技術」幫助改善學生上課「不見」的問題
網路世界裡「凡走過必留下痕跡」，老師們可透過學生在共同操作平台停留的時間、修改答案時間、留言板的留言時間和上傳答案的時間等，觀察學生對實驗的投入程度並精確掌握學生們在實驗中的操作過程",實作型評量,實作型評量比較能夠檢核在實用類型的的學習結果
負擔,載具的過度是未來的趨勢，就像現在教育部一直在推動的生生用平板，可是在這個過程中也發現學生的書寫能力變差了，另外其實不是每個學生都能負擔這些開銷，從遠距教學就可以發現這件事。如果這是未來的趨勢，勢必需要政府提供一些配套ㄘㄨㄛㄕˉ,紙筆過渡到載具的銜接,未來是否還需要紙筆呢？書寫從紙筆變成平板、手寫板等。
多層次教學,除了個別化教育之外，其實可以先從多層次教學開始，現在的大班教學也比較適用這種模式。,個別化與程度落差,應是學生能力落差大才需要個別化教學。
突發其想！或許可以杜絕學校霸凌,如同標題，雖在學校可以培養人際關係，但現行社會中，也存在許多學校霸凌，若未來教室中可行，也可杜絕學校霸凌！因為我可以自由選擇學習的資源！當然也可以選擇ㄓˋㄊㄨㄥˊ,多元社交機會提升社交智商,人際關係本就會產生親疏遠近，孩子實際到校學習不需要和全班同學都是摯友，也就是說人際關係並非是追求好人緣，應該是提升孩子與外界連結的能力與擴充孩子交朋友的彈性，未來教室可透過隨時隨處的資源分享，反而創造多元的社交機會並提升社交智商。
相信政府會幫助,我覺得既然可以成就未來教室，想必會有完善的配套措施！或許政府、校園會有因應策略,資源不足,未來教室需仰賴完善的科技設備與網際網路，但對於家中無上述資源的家庭，是否就限制了學習的機會呢？政府或學校是否應給予協助？
給予協助,沒錯！所以在學生討論的時候，老師需要設計一些問題引導學生討論，或是給予鷹架讓學生能夠像專家一樣的討論方式,學生能力有限,"時常在教室裡學生也較難找到自己的困難與問題
還是需要老師在旁助進行反思(循循善誘)"
依賴網路所造成的問題,同意這個說法，現在的孩子因太常瀏覽網路影片，導致有些用語或行為是不恰當的，所以媒體識讀的課程更要提早進行，或是在課堂中藉由時事說明,未來教室裡的學生會太過於依賴網路?,"俗話說
水能載舟，亦能覆舟
因此，網路在未來教室裡成為不可或缺的一塊
是否也間接影響學生的創造力與想像空間呢?
現今在教育現場的孩子時常操作的平台是Youtube
然而許多影片裡並不是真的具備教育價值或意義的"
可能需要去公共場所大家共用,現今台灣也有許多偏鄉地區，尤其是山區的一些居民，他們線路架設困難，加上資金不足，會需要到一些特地的地點大家共用這些科技設備來學習。,資源不足,未來教室需仰賴完善的科技設備與網際網路，但對於家中無上述資源的家庭，是否就限制了學習的機會呢？政府或學校是否應給予協助？
依靠未來科技降低3C產品對眼睛的傷害,未來的科技螢幕要降低電子產品對眼睛造成的損害，應該是可以慢慢的做到的，加上保健意識抬頭與保健產品越來越有效，未來應該不用擔心這問題。,視力保健,使用網際網路自主學習後，是否因此增加近視率？
產官學合作,可能未來教室的學習內容，會加入產、官、學，三個領域合作設計教材，讓學習者能更貼近業界所需求的人才。,教育沒有跟業界接軌,"現況是學校裡學習的內容，真的在出社會工作上使用到的比例不高
未來教室在學習內容部分需更實際"
需要老師與家長的監督,年紀越小，這時候就顯得老師與家長的地位的重要，需要更多的監督，才能養成他們自律的習慣。,自律,雖然未來教室上課時間更彈性，但對於缺乏自主性的學生或年紀較小沒有資訊能力孩童，學習較難發生，需要他人的規範與協助
迎新活動的重要,"大學在入學時，系上都會有迎新活動的傳統，就是為了讓大家快速的認識同班同學與學長姐，
雖然是遊玩性質，但我認為這活動蠻重要的，可以拓廣人脈外，還可以學習與人合作、互助一起闖關。",人與人互動,學生到學校除了學習知識以外，人際互動也是十分重要的課題，我認為必須與人實際交流，才能產生良好的人際互動技巧
地球村中，落後的國家可能會更落後。,"在能源與設備缺乏的國家中，能接受教育的可能只有金字塔上的群體。
未來教室對學習者的幫助越大，可能造成的社會階層差距也就會越大。",未來教室的侷限,"依照三部影片最大的感想是，怎麼都是正常人的輔助工具？
都是看得到的，可移動的？
那些盲聾啞、手腳缺殘的障礙人士怎麼辦？
未來教室或許應可針對殘疾人士多考慮合適的輔具。
才能全面的教育平等式的機會公平學習。"
新的教材教法,各科之間的界線走向融合，跨科的同時也需要新的教材教法,教學內容呈現,影片內容目前只有科技使用，不清楚具體教學內容及方式。
會降低讀書效率,"去年疫情的時候，相信許多人都有居家上班的經驗，雖然很方便可以睡到很晚，但在家上班確實效率很差。
沒有實體面對面，有時候會找不太到人，加上有些器具或設備，無法在家裡面使用，沒有老闆的監督，人也會變得比較懶惰，工作效率因而降低，相較於未來教室，也會有此問題，所以我認為未來教室還是需要實體走到教室裡面。",改良（進）microsoft未來教室,"1.在未來教室裡，（上課）時間是否因此調整？
2.家中硬體設備如果支援，學生還需要去學校嗎?
3.建議在學習的階段，雖然資訊全球化縮短人與人的距離，也需要安排一些課程實際人與人際之間的互動。
4.有想法發展時，能否有通知"
隱私權,監控應該有相關的限度，或是有法律依據。,遠端監控,"「遠距監控技術」幫助改善學生上課「不見」的問題
網路世界裡「凡走過必留下痕跡」，老師們可透過學生在共同操作平台停留的時間、修改答案時間、留言板的留言時間和上傳答案的時間等，觀察學生對實驗的投入程度並精確掌握學生們在實驗中的操作過程"
眼睛也要顧唷^^,"需要利用到眼睛的3C設備，容易造成視力的傷害， 一節50分鐘的課程，半天下來，其實對眼睛真的很傷。
所以學習的時間可能也會有所調整。",起始資源的建置，以及後續維護的相關費用需要考量,"若是能夠全面啟動，的確可以減少城鄉差距，讓在偏鄉的孩子也能感受到接觸不到的知識，但是環境的設置，以及後續是否有經費能夠維護？
以及起點能力落後，在從小沒有3C產品陪伴的家庭，是否需要額外花更大量的時間來引導？
學生課後是沒有相關設備可以使用的，會不會流於形式？"
學習需要同學面對面,去年疫情期間，學生都在上網課，有很多人希望趕快結束往課，因為在家很無聊，這樣才可以趕快去學校見到彼此的好朋友，還有聽說一年級地因為都在上網課，所以都不認識班上同學，所以我認為還是需要實體的到學校，學習需要有同伴一起，才會有動力。,改良（進）microsoft未來教室,"1.在未來教室裡，（上課）時間是否因此調整？
2.家中硬體設備如果支援，學生還需要去學校嗎?
3.建議在學習的階段，雖然資訊全球化縮短人與人的距離，也需要安排一些課程實際人與人際之間的互動。
4.有想法發展時，能否有通知"
教育創新,跨界交流的研習，拓展教師更多的視野。,現職教師增能,為了讓現職教師能適應未來科技化的教育，應鼓勵教師進修、提供ㄧㄢㄒㄧˊ並幫助教師排除課務問題
要因材施教,台灣的教育都是填鴨式的教育，不管學生有沒有興趣，全部都塞給你，塞到你吐為止，但像國外的教育，會做適性測驗，針對你擅長的領域或有興趣的去做培養，就造就出許多偏才，但在台灣人才是需要你樣樣精通，導致台灣在教育方面流失了不少專業領域的人才。,學習興趣,興趣會產生學習動力，但是如何持續的維持這樣的動力也是需要思考的一件事，也許學生會在學習的時候覺得太困難而想放棄
客製化相對需要自律,通常客製化的課程，往往需要使用者更自律的去學習，因為越客製化的學習，監督的成本就會越高。,學習能客製化,學習可以根據學習者的學習步調，彈性調整
需要大家彼此分享,可以從分享的過程中去學習別人的經驗,新教育模式,1.提供學生個人經驗，利用學生好奇心進行學習
睡夢中完全潛行技術,搞不好可以像刀劍神域一樣使用完全潛行在睡夢中就可以彼此連線，在一個虛擬空間裡面彼此見面，然後可以感受到五感，就可以利用睡覺時間來彼此學習了。,讓孩子探索世界,"我認為未來教室的想法，透過網路也可以達到人與人互動的緊密感，或許感受沒那麼有溫度。
但或許未來會有更強大的科技，可以有身歷其境的感覺。"
睡夢中完全完全潛行技術,搞不好可以像刀劍神域一樣使用完全潛行在睡夢中就可以彼此連線，在一個虛擬空間裡面彼此見面，然後可以感受到五感，就可以利用睡覺時間來彼此學習了。,改良（進）microsoft未來教室,"1.在未來教室裡，（上課）時間是否因此調整？
2.家中硬體設備如果支援，學生還需要去學校嗎?
3.建議在學習的階段，雖然資訊全球化縮短人與人的距離，也需要安排一些課程實際人與人際之間的互動。
4.有想法發展時，能否有通知"
結合VR,可以結合VR，讓大家身如其境,讓孩子探索世界,"我認為未來教室的想法，透過網路也可以達到人與人互動的緊密感，或許感受沒那麼有溫度。
但或許未來會有更強大的科技，可以有身歷其境的感覺。"
教材的來源,教材需符合未來趨勢，來源不再ㄉㄢㄧˉ,教材創新,師資培育的同時，教材亦須跟著升級創新
小班教學,未來可能會從現在的大班教學轉變為小班教學，師生比提高，個別化教學可能ㄎㄜㄒㄨㄥ,多層次教學,除了個別化教育之外，其實可以先從多層次教學開始，現在的大班教學也比較適用這種模式。
教師教學方式改變,跨科教育需要不同領域不同科目的教師ㄏㄨㄒㄧㄠㄏㄜㄗㄨㄛ,新的教材教法,各科之間的界線走向融合，跨科的同時也需要新的教材教法
真實評量,也能透過真實評量檢驗學生真實情境下的ㄕˊㄗㄨㄛㄋㄥㄌㄧ,實作型評量,實作型評量比較能夠檢核在實用類型的的學習結果
挺有道理的耶,科技不斷進步，所以這部分或許可以做到，或許未來也會發明戴上護眼眼鏡之類的~~~,依靠未來科技降低3C產品對眼睛的傷害,未來的科技螢幕要降低電子產品對眼睛造成的損害，應該是可以慢慢的做到的，加上保健意識抬頭與保健產品越來越有效，未來應該不用擔心這問題。
未來醫療!!,"有未來教室就會有未來保健甚至未來醫療! 哈
一定會跟上科技的!!",依靠未來科技降低3C產品對眼睛的傷害,未來的科技螢幕要降低電子產品對眼睛造成的損害，應該是可以慢慢的做到的，加上保健意識抬頭與保健產品越來越有效，未來應該不用擔心這問題。
會存在的問題恆久存在,現今的科技環境確實也有部分地區設備資源仍匱乏，無論科技如何進步及時代如何變遷，會存在的問題貌似恆久都會存在，都是大家需重視並尚待解決的問題。,可能需要去公共場所大家共用,現今台灣也有許多偏鄉地區，尤其是山區的一些居民，他們線路架設困難，加上資金不足，會需要到一些特地的地點大家共用這些科技設備來學習。
神之領域!?,那應該是另外一種納美人的境界了,睡夢中完全完全潛行技術,搞不好可以像刀劍神域一樣使用完全潛行在睡夢中就可以彼此連線，在一個虛擬空間裡面彼此見面，然後可以感受到五感，就可以利用睡覺時間來彼此學習了。
學生視力保健,過度的使用3C產品可能導致學生視力退化快速，未來的視力保健是趨勢,紙筆過渡到載具的銜接,未來是否還需要紙筆呢？書寫從紙筆變成平板、手寫板等。
桌遊與課程內容結合,從現有的桌遊加入遊戲元素，讓學生從遊完中學習,遊戲式學習,未來科技設備普及的情況下，遊戲學習也會逐漸盛行！
認同,尤其是在學校屬於中後段的學生，在家學習的效果越差，因為往往較缺乏自制力，家長對於學業的要求也較低,需要老師與家長的監督,年紀越小，這時候就顯得老師與家長的地位的重要，需要更多的監督，才能養成他們自律的習慣。
在家很無聊,開學後學生都抱怨在家很無聊,學習需要同學面對面,去年疫情期間，學生都在上網課，有很多人希望趕快結束往課，因為在家很無聊，這樣才可以趕快去學校見到彼此的好朋友，還有聽說一年級地因為都在上網課，所以都不認識班上同學，所以我認為還是需要實體的到學校，學習需要有同伴一起，才會有動力。
聽起來很棒,科技越來越進步，相信不管未來教室或者未來醫療都勢在必行,未來醫療!!,"有未來教室就會有未來保健甚至未來醫療! 哈
一定會跟上科技的!!"
適性教學,教學的過程能配合學習者的能力、興趣與需要，而作因應與導引式調整。,學生有不同的學習方式,就像是與其給他魚吃，不如教他如何釣魚!?
不會使用數位工具,有些學生在家中較少接觸電子產品，可能在學習時先解決工具使用問題。,衍伸問題,長期使用打字，仰賴自動挑選、選字功能，也可能衍伸出學生不會手寫國字的問題。
普遍化,可在各間學校普遍推廣，讓未來教室進入各大校園。,如何改善未來教室,"可以多加一些人性化的設計
可以多接觸大自然的東西
可以設計一系列的對話設計，使未來教室更加的活潑與生動"
網路成癮,過度使用網路電腦、難以自我控制，導致學業、人際關係、身心健康、家庭互動、工作表現上的負面影響。,依賴網路所造成的問題,同意這個說法，現在的孩子因太常瀏覽網路影片，導致有些用語或行為是不恰當的，所以媒體識讀的課程更要提早進行，或是在課堂中藉由時事說明
教師輔助,以學生為中心，教師協助學生達到適合學生的學習效果。,未來教育新樣貌,過去的教育是把人教成機器，未來的教育則要回歸到人的本質，幫助孩子探索人生、找到自己與世界的連結。
素養導向教學,素養的定義為：「人們在面對當今與未來的生活時，需要具備的知識、技能、態度，並且可以藉由其解決問題。」換句話說，在過去成績至上的時代中，我們培養的往往都是學生對於知識的能力，因此現在希望能透過「自主行動」、「溝通互動」、「社會參與」3 個核心素養的培養，讓學生具備運用知識的技能還有正確的態度。,生活經驗,"現今的教育倡導素養導向
但學生仍舊無法把知識與經驗相結合
應給予多嘗試解決生活問題的機會，便可以促發學生自行解決事情的能力"
網路成癮,如何解決網路成癮問題,依賴網路,如果網路不穩或是遇到技術問題，課程該如何進行?
視力保健,"連綠色植物都直接從電腦中看
直接規定用多久跳出半小時綠色植物影片
或是未來就不會有傷眼的電子產品",未來教室的想法,"1.多元的學習管道與環境
2.個別化的學習
3.透過科技的方式進行無界限的學習
4.學生自主學習"
迎新活動自我介紹,是的，未來教室裡，迎新活動也是必須的，自我介紹展現自我價值,迎新活動的重要,"大學在入學時，系上都會有迎新活動的傳統，就是為了讓大家快速的認識同班同學與學長姐，
雖然是遊玩性質，但我認為這活動蠻重要的，可以拓廣人脈外，還可以學習與人合作、互助一起闖關。"
ChatGPT,甚至連code也可以請ai代寫了😮,網路依賴,"現在學生找資料都不會去翻書籍
任何報告都從網路上獲取資源"
學習時間,需要限制他們學習的時間嗎？,自主學習,而且阿~我認為~當孩子在學習中找到自己的興趣，他們會自動自發的學習。
同儕實際互動,所以網際網路還是有些事無法取代的,學習需要同學面對面,去年疫情期間，學生都在上網課，有很多人希望趕快結束往課，因為在家很無聊，這樣才可以趕快去學校見到彼此的好朋友，還有聽說一年級地因為都在上網課，所以都不認識班上同學，所以我認為還是需要實體的到學校，學習需要有同伴一起，才會有動力。
近視,近距離遠距離交錯看,視力保健,"連綠色植物都直接從電腦中看
直接規定用多久跳出半小時綠色植物影片
或是未來就不會有傷眼的電子產品"
學校權利,監控的程度也與教師的權利範圍有關,隱私權,監控應該有相關的限度，或是有法律依據。
分群分組,透過不同程度的學生區分，或是S型分組，但要避免強者學不到東西，弱者學習吸收狀況不佳,因材施教,學習申論課程中的鷹架理論，先備知識等概念又會出現了⋯學習真是一環扣著一環息息相關！
教材資料(素材庫),將線上教材等資源集中後再做分類，有助於更快推薦出適當的教材,教材的多元化,"教材內容可以更加的多元化，不只限於單一的元素，如：課本等。
數位化的內容，可以增加更多的彈性和選擇。"
手寫輸入法,保留部分課程單元要求學生只能透過手寫輸入，已漸少手寫的生疏問題,傳統方式將被取代,1.識字年齡可能降低，但寫字能力也可能降低
生生有平板,透過集中發放平板(設備)會對課程上的管控(廣播)比較有效率，避免學生拿到平板就開始自己放飛了,BYOD 趨勢,"各種設備的相容性更加完善
手機直接投頻"
回饋2,"混合教學
科技輔助學習未來勢必會成為一種教學模式，可先藉由混合教學試驗成效。",統整摘要,"未來教室
自主學習
適性化、多元化學習
學生的學習態度：被動轉主動
學生對學習產生興趣
學生自主規劃學習歷程
科技輔助未來學習
學生學習如何解決問題"
突破線上教學思維,"如果未來教室學習模式或是學習介面為不同以往的""""線上教學""""概念，是否讓未來教室學習變成有所期待，會更有趣?",在家很無聊,開學後學生都抱怨在家很無聊
科技始終來自人性嘛,"讓我想起一句廣告詞~科技始終來自人性；但意思是否也能說是：數位化也好、未來科技也罷，甚至是元宇宙，無論有形或無形，實體或抽象，任何概念及定義只要""""人類認同""""就是可以被替代囉!!!",同儕實際互動,所以網際網路還是有些事無法取代的
資源有限,但資源有限，未來教室總有一些裝置設備的快慢問題，該如何進行處理與同步呢?,普遍化,可在各間學校普遍推廣，讓未來教室進入各大校園。
混合教學的缺失,"是否會造成學生都待在家中，
不願進入學校的問題呢?",回饋2,"混合教學
科技輔助學習未來勢必會成為一種教學模式，可先藉由混合教學試驗成效。"
科技輔助達到適性,盼未來教室能透過科技輔助更加的適性化，在學習期間能有更多如因材網的學習，而非等導學生學習出現問題時才適性補救。,適性教學,教學的過程能配合學習者的能力、興趣與需要，而作因應與導引式調整。
未來教師具備的技能,"未來教師具備的技能
1.引導學生使用輔具
2.輔具的進階應用
3.會使用已整合的程式後台管理",老師自己本身也得跟著進步,不然前浪就要死在沙灘上了，更別談引導學生～
網站過濾機制,或許未來可以設定更多且明確的網路機制，以過濾學生可、不可觀看的內容。,未來教室裡的學生會太過於依賴網路?,"俗話說
水能載舟，亦能覆舟
因此，網路在未來教室裡成為不可或缺的一塊
是否也間接影響學生的創造力與想像空間呢?
現今在教育現場的孩子時常操作的平台是Youtube
然而許多影片裡並不是真的具備教育價值或意義的"
教師仍扮演重要角色,教師透過有效的教學抑是重要的關鍵角色，倘若未來有好的科技、技術輔助，但老師若未能正確的引導和教學，仍無法發揮最大效用!,學生能力有限,"時常在教室裡學生也較難找到自己的困難與問題
還是需要老師在旁助進行反思(循循善誘)"
網路使用大哉問,關於網路的使用，實在有太多需要讓學生知道並遵守的，小至吵架，大至受罰，這些都是科技大量引入前不可錯過的呀!!!!!,留言方式,"覺得還要教導學生如何留言,以及如何表達有意義,有發展性的想法"
學習判別資訊,媒體識讀目前在國中教授，但或許課綱設計時不如現在使用的如此提前及頻繁，我所提出的媒體識讀並非要講得很深，而是能在學生日常使用時，學習去過濾資訊，而非全盤接受所有資訊量唷!啾,媒體識讀課程,"媒體識讀課程於國中公民課程當中才能學到
且太過於理論化
是否能有一些開放性的資源供學生進行選擇呢?"
再生能源的發展很重要,,供電問題,當供電量供不應求 可能會造成跳電問題發生
用ChatGPT獲取知識,ChatGPT可以得到蠻多知識的文章ㄋㄟㄨㄣ,ChatGPT,甚至連code也可以請ai代寫了😮
也許要有團隊巡迴進駐（系統延續性）,因為城鄉差距，所以就算鄉鎮小學好不容易申請到經費了，可是往往因為老師不是正式老師，都是代理的人來人往，效益極差。買完設備就放在防潮箱了。所以我的想法是有團隊進駐帶領學生跟老師都有經驗學習了，三年級用過此系統，四年級即便老師不一樣了，也還是可以繼續用。（系統延續性）,行動裝置較能縮小城鄉差距,相較於傳統教育，行動裝置跟網路對於城鄉差距比較能幫上忙吧？只要有網路跟設備，國外的課都能上
未來教室結合遊戲,在遊戲裡增加獎勵機制更有ㄏㄨㄉㄒ,遊戲式學習,未來科技設備普及的情況下，遊戲學習也會逐漸盛行！
可應用在班級管理（導師）,印象中曾有老師利用RPG遊戲的方式，利用課堂中競爭的方式得取經驗值或金幣，對等可以更換條件卡片或者實質商品例如文具等。促進同儕互動關係、也同時了解學習過程，形成雙贏局面。,線上互動遊戲化學習環境,大部分人都喜歡玩遊戲，如何讓線上學習活動遊戲化，是改善未來教室的一個關鍵因素。
分組,也可以打散不同程度學生一起學習,因材施教,學習申論課程中的鷹架理論，先備知識等概念又會出現了⋯學習真是一環扣著一環息息相關！
因人而異,好想法 壞想法 無一定的標準,受生活經驗與環境影響,受生活經驗與環境影響，所以不同的人們看待同樣一件事時，就會有不同的見解。
腦力激盪,創意發想,尚未有行動前的預備式(想法),想法，具有思考的行為中，期待預期具體的實踐或行動。可以是一種待確認目的的個人或群體腦力機盪的過程。
對與錯,想法的評判標準是什麼呢?,可改善問題原先可能的結果,
想法是對於議題的觀點,想法是私人的，主觀的，可能來自於之前的經驗,"甚麼是想法 What is """"idea""""？",
可對人類或環境產生效益的思考,,想法的起點,針對特定問題所延伸出特定的思考角度
1.什麼是想法,想法是可以脫離與他人的聯繫獨自存在，但行動往往不是。所以這個角度看，想法相對更容易一些。,討論問題,討論想法是什麼??
想法是做某件事的建議或計劃,,想法的起點,針對特定問題所延伸出特定的思考角度
實際結果與預期不符,,"甚麼是可以改善的想法 What is an """"improvable idea""""？",
突然產生的靈感,,對想法的定義,
不太懂你的意思,可以再講具體一點嗎?,1.什麼是想法,想法是可以脫離與他人的聯繫獨自存在，但行動往往不是。所以這個角度看，想法相對更容易一些。
偶然,會是一個偶然間發生的,想法的起點,針對特定問題所延伸出特定的思考角度
遇到事件後心中的念頭、盤算,Image -> https://kf6.nccu.edu.tw//attachments/63decbae204af2291312dc2a/63ff39bc5270c79ddc3cc452/1/blob,想法的起點,針對特定問題所延伸出特定的思考角度
創作前腦中的藍圖,創作前腦中的設計藍圖，與團隊不斷的討論與修改，邁向最佳。,腦中的想像,靠想像力創造所有想法
對事物的看法和意見，以及解決問題的辦法,,對想法的定義,
???,我想知道你的論點,1.什麼是想法,想法是可以脫離與他人的聯繫獨自存在，但行動往往不是。所以這個角度看，想法相對更容易一些。
1. 想法是創新的,想法是可以解決問題的，而且可以透過別人的內容，激盪出更不一樣的想法,討論問題,討論想法是什麼??
想法基礎上外是可被重複利用，且具有疊加性,想法可以是疊加，在於基礎上不斷更新,"甚麼是可以改善的想法 What is an """"improvable idea""""？",
1.經過自己的思考,經過自己的思考，有自我的獨見。,討論問題,討論想法是什麼??
創造力的展現,創造行為,想法定義,
舊元素新組合,,想法定義,
有缺點的想法,"1. 不夠周延/全面，偏頗的
2. 歧視性的、帶有偏見的","甚麼是可以改善的想法 What is an """"improvable idea""""？",
可行性,想法的可行性要再思量,可增加效率的,
自我實現,想法或許是自我實踐的開始?,1.經過自己的思考,經過自己的思考，有自我的獨見。
大腦神經元的觸發,"每個人的過去經歷不同，經由大腦神經元的觸發，
在一個主題的討論會有不同的想法產生。",想法的起點,針對特定問題所延伸出特定的思考角度
難言之隱,無法說出口的想法 就變成難言之隱,想法是對於議題的觀點,想法是私人的，主觀的，可能來自於之前的經驗
設計師（商品、平面）及經驗,"透過跟客戶溝通，解決客戶需求
曾經在做產品設計時需要產生新的想法，主要是由觀察生活週遭人事物並看現有的產品，看哪些需要改善或如何讓社會更好。",什麼工作跟產出想法有關？工作經驗哪些有相關,
會被影響,"1.想法是被生活經驗與成長環境所影響。
2.有時會不敢說出，因為可能連自己也不太敢確定。","甚麼是想法 What is """"idea""""？",
其他事件延伸出來,對目前的現況提出改善也是種想法,想法的起點,針對特定問題所延伸出特定的思考角度
理想與實際需求有落差,因為想法通常都還不會付出行動，常常實際操作後就會產生可以落差，而想要改善。,實際結果與預期不符,
因為一昧的盲從無法使人進步突破,,為什麼想法很重要 Why idea are important？,
1.想法是思考在心靈上的產物,想法是思考在心靈上的產物，包括對事物的看法和意見，以及解決問題的辦法。想法可以是形象化的想像，也可以是抽象化的概念。,討論問題,討論想法是什麼??
萬事起頭難(想法是基樁，改善是立基的工法),想法是基樁，改善是立基的工法,為什麼想法很重要 Why idea are important？,
個人主觀,一件事會有不同的面相，想法是一個人對於一件事的主觀思考及產出。,想法定義,
想法的定義,想法是有建設性的?!,自我實現,想法或許是自我實踐的開始?
解決問題,動腦產生想法以解決問題,為什麼想法很重要 Why idea are important？,
思考與否,針對特定的事件、主題所做出的反應,偶然,會是一個偶然間發生的
想法是主觀的,想法是主觀的個人思維，資訊是客觀的陳述。,討論問題,討論想法是什麼??
瞬間,,想法,"什麼是想法？
什麼想法是需要改變的？
什麼想法是重要的？
人怎麼生產出來的想法？
你有什麼經驗去想出方法嗎？"
因人而異,每個人的背景、工作不同因此對事件的想法皆不同,想法,"什麼是想法？
什麼想法是需要改變的？
什麼想法是重要的？
人怎麼生產出來的想法？
你有什麼經驗去想出方法嗎？"
4.為何想法很重要呢？,具有創新改變及生產力能讓社會邁進更好的未來,討論問題,討論想法是什麼??
想法的存在意涵?,遇到問題就會開始產生立即解決的策略,想法的定義,想法是有建設性的?!
想法,"優點
1.可以與他人進行交流
2.使他人能夠更加了解自己的一種方式
3.使人們更加進步的一種產出
缺點
1.造成許多混亂的一種思考
2.使人們之間會有衝突的一種產出物",經驗法則,會從舊有經驗中先出發
所有工作都與想法有關。是,,誰的工作與想法有關？ 你是否曾經的工作與產出想法或改善想法有關？ Who work with ideas？Do you have any experience working with ideas？,
腦中的靈光一現,瞬間腦中的靈光一現,瞬間,
2.承上無意見的想法,承上，複製貼上，無經過自己的思考，隨意仿效，不見得是自己真正的想法。,討論問題,討論想法是什麼??
切磋,想法是人與人互相切磋出來的,想法,"什麼是想法？
什麼想法是需要改變的？
什麼想法是重要的？
人怎麼生產出來的想法？
你有什麼經驗去想出方法嗎？"
任何靈活、非規律性、規則外的工作都需要想法,"除了已經訂好規則的工作內容（例如生產作業員，只要follow SOP就好）之外，都需要想法
PM舉例，客戶要求的交期比標準交期少一週，要怎麼辦到？",如何將想法運用於工作上 How people work with ideas？,
精神不好時候的想法,創意源自於神經元反應下，如果精神不濟閃出的想法有效性,大腦神經元的觸發,"每個人的過去經歷不同，經由大腦神經元的觸發，
在一個主題的討論會有不同的想法產生。"
眼睛看不見,腦中的想法看不見，我們不看不見他人的腦中想法，也看不見自己。,遇到事件後心中的念頭、盤算,Image -> https://kf6.nccu.edu.tw//attachments/63decbae204af2291312dc2a/63ff39bc5270c79ddc3cc452/1/blob
想法也有賴於各種經驗的連結,,大腦神經元的觸發,"每個人的過去經歷不同，經由大腦神經元的觸發，
在一個主題的討論會有不同的想法產生。"
有想法才會有進步，就像基因一樣，突變才是演化的開始,,可對人類或環境產生效益的思考,
創新的思維,與既定不同的思維,想法,"什麼是想法？
什麼想法是需要改變的？
什麼想法是重要的？
人怎麼生產出來的想法？
你有什麼經驗去想出方法嗎？"
資訊也可以成為想法,資訊也可以成為想法嗎?將網路或是其他媒體得到的資訊，內化為自己的內容，也可以提出想法,想法是主觀的,想法是主觀的個人思維，資訊是客觀的陳述。
需要解決某個問題時,需要思考解決問題的方法,因人而異,每個人的背景、工作不同因此對事件的想法皆不同
想法可以發散思維，從而找到解決問題的可能性,只有不斷的思考、反思，才能將思維拓展。,解決問題,動腦產生想法以解決問題
思考與想法不同,,想法定義,
沒有思考的很全面,有許多漏洞，眼界太小,什麼是可改進的想法,
想法的需求,需要解決某問題時，會產生想法。,思考與否,針對特定的事件、主題所做出的反應
理性、感性,針對想法是否會都是理性或是感性,遇到事件後心中的念頭、盤算,Image -> https://kf6.nccu.edu.tw//attachments/63decbae204af2291312dc2a/63ff39bc5270c79ddc3cc452/1/blob
想法也可以是對某件事的理解或思維,,思考與否,針對特定的事件、主題所做出的反應
提出想法與別人合作,自己的和別人的想法 互相討論 合作學習 分工 科技使用,如何將想法運用於工作上 How people work with ideas？,
想法的激盪,解決的策略可以透過社群內的想法激盪，昇華出更不一樣的內容,想法的存在意涵?,遇到問題就會開始產生立即解決的策略
想法的發展,"想法是想到問題、如何解決需要被解決的問題
什麼是需要改進的想法，不被認可，大多數人認為離題
什麼是重要的想法，被認可且這件事可以解決需要被解決的問題
有一位提出問題，此問題需要被解決，想法就產生",想法,"什麼是想法？
什麼想法是需要改變的？
什麼想法是重要的？
人怎麼生產出來的想法？
你有什麼經驗去想出方法嗎？"
沒有絕對的對與錯,想法是即使無法認同，但卻是需要互相尊重的。,想法是對於議題的觀點,想法是私人的，主觀的，可能來自於之前的經驗
將觀察或探索的現象加上個人感受進行產出,想法通常都是基於個人的觀察與感受，而進行表述。,"甚麼是想法 What is """"idea""""？",
